Period, Table, subject, finalProfit, showUpFee, showUpFeeInvested, moneyAdded, moneyToPay, moneyEarned, 
0, session, 0, 0, 0, 0, 0, 0, 0, 
0, session, 1, 0, 0, 0, 0, 0, 0, 
Period, Table, period, numPeriods, payingPeriods, practicePeriods, repeatTreatment, groupSize, numGroups, endowment, efficiencyFactor, 
0, globals, 0, 3, 2, 1, false, 2, 1, 20, 1.6, 
Period, Table, period, subject, group, profit, totalProfit, participate, leaveStage, contribution, 
0, subjects, 0, 0, 0, 22.6, 0, true, false, 3, 
0, subjects, 0, 1, 0, 21.6, 0, true, false, 4, 
Period, Table, subject, finalProfit, showUpFee, showUpFeeInvested, moneyAdded, moneyToPay, moneyEarned, 
1, session, 0, 0, 0, 0, 0, 0, 0, 
1, session, 1, 0, 0, 0, 0, 0, 0, 
Period, Table, period, numPeriods, payingPeriods, practicePeriods, repeatTreatment, groupSize, numGroups, endowment, efficiencyFactor, 
1, globals, 0, 3, 2, 1, false, 2, 1, 20, 1.6, 
Period, Table, period, subject, group, profit, totalProfit, participate, leaveStage, contribution, 
1, subjects, 0, 0, 0, 22.6, 0, true, false, 3, 
1, subjects, 0, 1, 0, 21.6, 0, true, false, 4, 
